Survey,Year,Summary Area,NMFS Reporting Area,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date
AI,2012,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,113,63,6596.90318579189,3183285.1703765,15008.9646021129,25182387.8157709,109130,871130858.743988,46558,171702,248287121,6891357182612070,72297020,424277222,2023-09-14 19:00:20
AI,2012,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,132,39,1315.4081777035,371179.983830144,1261.76887648708,324595.57374426,33149.3,235722536.660887,2120,64178,31797343,206138518683989,2780785,60813901,2023-09-14 19:00:20
AI,2014,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,134,100,14169.1428281217,16372270.9318017,26598.2873087301,52484726.9277291,215234.7,3777862455.95397,81304,349165,404038001,12110725518603700,164241793,643834209,2023-09-14 19:00:20
AI,2014,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,44,13,192.816531474256,19560.8430188353,141.643221900676,9032.64771206197,1442.6,1094893.24928312,0,3703,1059738,505590939693.466,0,2595604,2023-09-14 19:00:20
AI,2014,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,110,58,12384.244251474,38665701.8487932,19577.854857705,58067041.689613,204867.8,10581171416.5383,0,420164,323868767,15890499651909200,60030367,587707167,2023-09-14 19:00:20
AI,2014,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,122,53,11999.1125070033,26161923.1912431,14160.684746121,35273505.3004502,302382.5,16614459742.4983,39175,565590,356855432,22400885038424600,51230819,662480045,2023-09-14 19:00:20
AI,2016,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,135,58,10298.1824786465,33472007.2304763,22660.6056111042,169501051.693261,156433.1,7723585809.70055,0,334047,344223249,39111963276447900,0,743911260,2023-09-14 19:00:20
AI,2016,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,43,10,24.8194624275502,95.9642529904495,26.6593802307781,101.179437622445,185.6,5371.47671348151,33,338,199418,5663390024.26464,42887,355949,2023-09-14 19:00:20
AI,2016,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,114,57,8041.16727444273,19082697.3893609,17620.3951301083,133406430.1402,133021.8,5222129238.88922,0,286222,291487309,36507711948489100,0,696555526,2023-09-14 19:00:20
AI,2016,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,127,35,6290.55218907012,9800110.24736679,7215.05814907107,12924320.6813494,158525,6223683786.03837,0,321039,181822688,8207753080296940,0,368451788,2023-09-14 19:00:20
AI,2018,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,129,67,8871.75964803117,9147192.96903187,15241.096416067,27585647.8609404,134765.5,2110692953.89854,40951,228580,231518074,6365322429070340,68601248,394434900,2023-09-14 19:00:20
AI,2018,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,45,22,3427.77431380278,5838307.74566209,3454.54159298884,6505645.1636908,25645.1,326791832.63255,0,83167,25845328,364145193798533,0,86566125,2023-09-14 19:00:20
AI,2018,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,120,69,1608.84537127343,219748.915250949,2591.99192573407,838522.176707643,26614.5,60136007.6163007,10779,42450,42878364,229468145257250,11945727,73811001,2023-09-14 19:00:20
AI,2018,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,126,44,6673.99752748453,14492088.5328315,7106.0006282269,15795141.2426225,168187.6,9203383854.97757,0,362071,179074141,10030903935627600,0,381486184,2023-09-14 19:00:20
AI,2022,299,Western Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,108,59,14001.8969257581,18392384.5933232,22488.9085846311,49587088.5094165,212693.7,4243998863.68944,81034,344354,341614893,11442102366869200,125433044,557796742,2023-09-14 19:00:20
AI,2022,799,Southern Bering Sea,21921,Atka mackerel,Pleurogrammus monopterygius,47,18,95.6334291155092,2809.27754459402,88.6464777461489,1788.75931911305,715.5,157245.728927781,0,1545,663350,100123522345.294,1077,1325623,2023-09-14 19:00:20
AI,2022,3499,Central Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,113,69,6511.26684750275,10685084.2316938,9445.83283362972,18531736.0870854,107713.5,2924056785.46428,0,221811,156258468,5071354373711440,5998105,306518831,2023-09-14 19:00:20
AI,2022,5699,Eastern Aleutians,21921,Atka mackerel,Pleurogrammus monopterygius,131,37,13933.8310874144,66784811.2870721,14125.5588186385,62782595.0197149,351139.1,42412537886.7716,0,778265,355970396,39870879898989000,0,770100367,2023-09-14 19:00:20
