SUMMARY_AREA,SEX,AGE,AGEPOP,MEANLEN,SDEV
959,1,5,417937.8622613413181364499822917672816254,439.896294597745685921966476400729532992,41.32453284212660037895636584803341531455
949,1,4,5771430.34668669678304566742700616939967,416.134801354618704659075569357119624425,32.08444642268275134529815031197444865676
919,1,10,2746766.26652014652014652014652014652015,487.104269773959245999002800803643471038,20.10437769293046285013889399040522676685
929,1,7,1491002.20810924369747899159663865546218,496.758312738909384376148286928266434992,26.61247586640521502306725287356021243261
939,1,7,1585864.39705720749838396897220426632191,506.545764313368612876124882328781923782,25.5741519442971950134885707380381068142
959,1,-9,100209,325.301420032132842359468710395273877596,126.409351757336371525400918974498603871
919,2,9,13902193.73332821111725777040178662896716,532.68510770662415930675448204590623298,27.07651423706530212493459328651911780371
939,2,7,1053799.5401936026936026936026936026936,535.878517861237462961496523019046429337,53.05630815746606393347647474168669413669
919,2,2,49070828.7884288398220286765178406045279,310.803341153883231848783322290029474513,29.13158468861589410668761409690579249796
959,2,5,1952852.98192383230922784675320172277576,460.289942120514365706531754853271495141,36.11626292143194596056437074423124425501
919,2,3,60525449.37716704256444835071930193100258,398.683669841246748220427976213747010581,31.06552641305149362976283759402609173816
919,2,5,20554203.35593690735678565293169755644401,467.877344567664971940396125556431681181,46.08458844472846108786516544771105887002
919,2,6,2727310.46284395680947405085336119818879,526.541353975210270324417001314593557276,28.82614294420951489915632785510951349859
939,2,3,16111398.66089519889028803302316700416415,391.83475875317303213115339039414040375,38.386146198856691167381278364865603726
949,2,9,1633897.52285144987984744577036666286159,544.630741858856145547199173737057699083,36.51768456090829425795301575852389668143
959,2,6,159521.8513638022258711913884327677431126,520.328839658668103531721621310778606265,29.63614923619463757271724443504362469705
949,2,10,154689.7700089126559714795008912655971479,580.943764361788919450255027554446829517,32.22474155070913830959021489588752857712
919,2,10,1353660.44465240641711229946524064171123,558.948926131407938017397846777885995981,30.772593172984300836728833089042843033
929,2,4,32870183.92882812185323661783574242205609,441.770575922495315794826668655556072443,34.56313220948008930611514292602337278796
939,2,5,10204270.5752301586175825526738305642971,492.134750508683897506018201923788718721,43.63328824177705724977515546890423357087
949,2,5,2411283.66508484566293896922700168136274,476.670439344803025412173621504263098258,48.16565793758038140062148859160317296717
929,2,10,727540.0780303030303030303030303030303032,548.508559618525982630366453945107718385,20.93858509164360895450788431484845615871
959,2,8,381148.0045447471918060153354271001329824,526.43869411268727339093718747234898135,35.99301828952387260462469682343738127396
919,2,4,70969633.42857486544806391075207131575234,429.046387454782728633330701338832413152,36.80717263958208458578068802606292637117
939,2,0,0,0,0
929,2,7,786198.0472432659932659932659932659932661,498.496604338946137809742737492080496562,52.06345137858226932244143165490913448076
