Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Length (mm),Number of Males,Number of Females,Number Unsexed,Total Number
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,410,1711094,6844375,0,8555469
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,420,0,5133282,0,5133282
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,430,1711094,0,0,1711094
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,440,1711094,0,0,1711094
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,270,359848,359848,0,719696
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,280,467952,0,0,467952
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,290,866935,359848,0,1226784
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,300,1414675,1716525,0,3131200
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,310,6841682,7364925,0,14206607
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,222,Western Aleutians,101,200,E Western Aleutians,ALEUTIANS,NEITHER,320,5763526,4584811,0,10348338
